name,handedness,height,weight,avg,HR,bmi 
Wilbur Howard,B,74,170,0.25,6,2.3
Mike Young,B,74,195,0.247,72,2.64
Gene Michael,B,74,183,0.229,15,2.47
Vic Harris,B,71,165,0.217,13,2.32
Tito Fuentes,B,71,175,0.268,45,2.46
Butch Wynegar,B,73,190,0.255,65,2.6
Darrel Chaney,B,74,188,0.217,14,2.54
Jerry Mumphrey,B,74,185,0.289,70,2.5
Wayne Tolleson,B,69,160,0.241,9,2.32
Chico Ruiz,B,72,169,0.24,2,2.35
Buck Rodgers,B,74,190,0.232,31,2.57
Gary Lance,B,75,195,0,0,2.6
Joe Nolan,L,71,175,0.263,27,2.46
Denny Doyle,L,69,175,0.25,16,2.54
John LaRose,L,73,185,0,0,2.53
Frank Tepedino,L,71,185,0.241,6,2.61
Jerry Kutzler,L,73,175,0,0,2.4
Darrell Evans,L,74,200,0.248,414,2.7
Tommy McCraw,L,72,183,0.246,75,2.54
Britt Burns,L,77,215,0,0,2.79
Fred Whitfield,L,73,190,0.253,108,2.6
Jerry Garvin,L,75,195,0,0,2.6
Kevin Mmahat,L,77,220,0,0,2.86
Wayne Garrett,L,71,175,0.239,61,2.46
Tony Muser,L,74,180,0.259,7,2.43
Kevin Stanfield,L,72,190,0,0,2.64
Jim Lyttle,L,72,180,0.248,9,2.5
Scot Thompson,L,75,195,0.262,5,2.6
Gene Locklear,L,70,165,0.274,9,2.36
Pat Putnam,L,72,205,0.255,63,2.85
Bob Fallon,L,75,200,0,0,2.67
Chris Chambliss,L,73,195,0.279,185,2.67
Tom Satriano,L,73,185,0.225,21,2.53
Walt Bond,L,79,228,0.256,41,2.89
Omar Moreno,L,74,180,0.252,37,2.43
Tony Ferreira,L,73,160,0,0,2.19
Bryan Oelkers,L,75,192,0,0,2.56
Kevin Bearse,L,74,195,0,0,2.64
Bruce Boisclair,L,74,185,0.263,10,2.5
Jim Fairey,L,70,190,0.235,7,2.71
Gary Thomasson,L,73,180,0.249,61,2.47
Floyd Robinson,L,69,175,0.283,67,2.54
Lou Brock,L,71,170,0.293,149,2.39
Johnny Lewis,L,73,189,0.227,22,2.59
Ken Boswell,L,72,170,0.248,31,2.36
Willie Crawford,L,73,197,0.268,86,2.7
Mike Jones,L,78,215,0,0,2.76
Jeff Stone,L,72,175,0.277,11,2.43
Joe Lahoud,L,73,198,0.223,65,2.71
Tim Flannery,L,71,175,0.255,9,2.46
Zach Crouch,L,75,180,0,0,2.4
Greg Gross,L,70,160,0.287,7,2.29
Bruce Tanner,L,75,220,0,0,2.93
Jack Brohamer,L,70,165,0.245,30,2.36
Von Joshua,L,70,170,0.273,30,2.43
Eddie Milner,L,71,173,0.253,42,2.44
Tony Oliva,L,73,175,0.304,220,2.4
Johnny Oates,L,71,188,0.25,14,2.65
Pat Underwood,L,72,175,0,0,2.43
Mike Phillips,L,72,170,0.24,11,2.36
Jay Johnstone,L,73,175,0.267,102,2.4
Joel McKeon,L,72,185,0,0,2.57
Al Bumbry,L,68,170,0.281,54,2.5
Jake Gibbs,L,72,180,0.233,25,2.5
Garry Hancock,L,72,175,0.247,12,2.43
Ed Kranepool,L,75,205,0.261,118,2.73
Chuck Hiller,L,71,170,0.243,20,2.39
Jorge Orta,L,70,170,0.278,130,2.43
Bruce Robbins,L,73,190,0,0,2.6
Tony Gonzalez,L,69,170,0.286,103,2.46
Brian Dubois,L,70,165,0,0,2.36
Steve Whitaker,L,72,180,0.23,24,2.5
Manny Jimenez,L,73,185,0.272,26,2.53
Vance Lovelace,L,77,205,0,0,2.66
Wayne Gross,L,74,210,0.233,121,2.84
Ralph Botting,L,72,195,0,0,2.71
Terry Crowley,L,72,180,0.25,42,2.5
Tim Harkness,L,74,182,0.235,14,2.46
Jim French,L,68,180,0.196,5,2.65
Dave Roberts,L,75,195,0.194,7,2.6
Jim Mason,L,74,185,0.203,12,2.5
Willie Smith,L,72,182,0.248,46,2.53
Leon Durham,L,73,185,0.277,147,2.53
Dick Phillips,L,72,180,0.229,12,2.5
Ed Crosby,L,74,175,0.22,0,2.36
Larry Stahl,L,72,175,0.232,36,2.43
Jose Cruz,L,72,170,0.284,165,2.36
Don Mason,L,71,160,0.205,3,2.25
Jim Umbarger,L,78,200,0,0,2.56
Curt Wardle,L,77,220,0,0,2.86
Duane Walker,L,72,185,0.229,24,2.57
Rod Carew,L,72,170,0.328,92,2.36
Rick Manning,L,73,180,0.257,56,2.47
Israel Sanchez,L,69,170,0,0,2.46
Cesar Geronimo,L,72,165,0.258,51,2.29
Billy Bryan,L,76,200,0.216,41,2.63
Terry Whitfield,L,73,197,0.281,33,2.7
Fred Lynn,L,73,185,0.283,306,2.53
Graig Nettles,L,72,180,0.248,390,2.5
Narciso Elvira,L,70,160,0,0,2.29
Mike Easler,L,72,190,0.293,118,2.64
Rick Monday,L,75,193,0.264,241,2.57
Joe Keough,L,72,185,0.246,9,2.57
Tony Solaita,L,72,210,0.255,50,2.92
Ed Goodson,L,75,180,0.26,30,2.4
Len Whitehouse,L,71,175,0,0,2.46
Dick McAuliffe,L,71,176,0.247,197,2.48
Tom Hutton,L,71,180,0.248,22,2.54
Ron Hodges,L,73,185,0.24,19,2.53
Rich Chiles,L,71,170,0.254,6,2.39
Rusty Staub,L,74,190,0.279,292,2.57
Jim Norris,L,70,175,0.264,7,2.5
Oscar Gamble,L,71,160,0.265,200,2.25
George Vukovich,L,72,198,0.268,27,2.75
Joe Pactwa,L,71,185,0,0,2.61
Craig Reynolds,L,73,175,0.256,42,2.4
Al Oliver,L,72,195,0.303,219,2.71
Sherman Corbett,L,76,205,0,0,2.7
Milt May,L,72,190,0.263,77,2.64
Jim Nettles,L,72,186,0.22,16,2.58
Larry Biittner,L,74,205,0.273,29,2.77
Joe Simpson,L,75,175,0.242,9,2.33
Bill Fahey,L,72,200,0.241,7,2.78
Bernie Allen,L,72,175,0.239,73,2.43
Claudell Washington,L,72,190,0.278,164,2.64
John Donaldson,L,71,160,0.238,4,2.25
Mike Smithson,L,80,215,0,0,2.69
John Mayberry,L,75,215,0.253,255,2.87
Dan Briggs,L,72,180,0.195,12,2.5
Pete Ward,L,73,185,0.254,98,2.53
Duke Sims,L,74,197,0.239,100,2.66
Mike Davis,L,74,175,0.259,91,2.36
Jerry Reuss,L,77,200,0.167,1,2.6
Danny Goodwin,L,73,195,0.236,13,2.67
Bob Knepper,L,75,195,0.137,6,2.6
Mickey Rivers,L,70,165,0.295,61,2.36
Jim Northrup,L,75,190,0.267,153,2.53
John Hale,L,74,195,0.201,14,2.64
Reggie Ritter,L,74,195,0,0,2.64
Carl Yastrzemski,L,71,175,0.285,452,2.46
Gates Brown,L,71,220,0.257,84,3.1
Ken Landreaux,L,70,165,0.268,91,2.36
Ray Webster,L,72,185,0.244,17,2.57
Bobby Mitchell,L,70,170,0.243,3,2.43
Bruce Bochte,L,75,195,0.282,100,2.6
Bernie Carbo,L,71,173,0.264,96,2.44
Vic Davalillo,L,67,150,0.279,36,2.24
John Lowenstein,L,72,175,0.253,116,2.43
Joe Hague,L,72,195,0.239,40,2.71
Bake McBride,L,74,190,0.299,63,2.57
Ed Herrmann,L,73,195,0.24,80,2.67
Mike Rochford,L,76,205,0,0,2.7
Bob Molinaro,L,72,190,0.264,14,2.64
Mike Hegan,L,73,188,0.242,53,2.58
Angel Moreno,L,69,165,0,0,2.39
Rob Wilfong,L,73,180,0.248,39,2.47
Randy Wiles,L,73,185,0,0,2.53
John Milner,L,72,185,0.249,131,2.57
Rich Reese,L,75,185,0.253,52,2.47
Bill Buckner,L,72,185,0.289,174,2.57
Jeff Schattinger,L,77,200,0,0,2.6
Darrell Porter,L,72,193,0.247,188,2.68
Tim Johnson,L,73,170,0.223,0,2.33
Tim Corcoran,L,71,175,0.27,12,2.46
Jim Spencer,L,74,195,0.25,146,2.64
Pete LaCock,L,74,200,0.257,27,2.7
Matty Alou,L,69,160,0.307,31,2.32
Jim Dwyer,L,70,165,0.26,77,2.36
Dalton Jones,L,73,180,0.235,41,2.47
Clint Hurdle,L,75,195,0.259,32,2.6
Jeff Twitty,L,74,185,0,0,2.5
Boots Day,L,69,160,0.256,8,2.32
Don Mincher,L,75,205,0.249,200,2.73
Jim Gosger,L,71,185,0.226,30,2.61
Marvell Wynne,L,71,175,0.247,40,2.46
Dave Marshall,L,73,182,0.246,16,2.49
Roger Repoz,L,75,190,0.224,82,2.53
Johnny Briggs,L,73,190,0.253,139,2.6
Bob Jones,L,74,195,0.221,20,2.64
Keith Hernandez,L,72,180,0.296,162,2.5
Willie Upshaw,L,72,185,0.262,123,2.57
Dane Iorg,L,72,180,0.276,14,2.5
Richie Hebner,L,73,195,0.276,203,2.67
Gene Richards,L,72,175,0.29,26,2.43
Al Woods,L,75,190,0.271,35,2.53
Rudy Law,L,73,165,0.271,18,2.26
Joel Davis,L,77,205,0,0,2.66
Mike Fiore,L,72,175,0.227,13,2.43
Bobby Tolan,L,71,170,0.265,86,2.39
Steve Barr,L,76,200,0,0,2.63
Jose Tartabull,L,71,165,0.261,2,2.32
Ben Oglivie,L,74,160,0.273,235,2.16
Duane Kuiper,L,72,175,0.271,1,2.43
Jerry Narron,L,75,205,0.211,21,2.73
Ken Retzer,L,72,185,0.264,14,2.57
Greg Walker,L,75,205,0.26,113,2.73
Steve Davis,L,73,195,0,0,2.67
Jeff Rineer,L,76,205,0,0,2.7
Reggie Jackson,L,72,195,0.262,563,2.71
Sonny Jackson,L,69,150,0.251,7,2.17
Mark Mercer,L,77,220,0,0,2.86
Rich Coggins,L,68,170,0.265,12,2.5
Mitchell Page,L,74,205,0.266,72,2.77
Glenn Adams,L,73,180,0.28,34,2.47
Joe Morgan,L,67,160,0.271,268,2.39
Lee Thomas,L,74,195,0.255,106,2.64
John Stephenson,L,71,180,0.216,12,2.54
Doug Clemens,L,72,180,0.229,12,2.5
Steve Braun,L,70,180,0.271,52,2.57
Ty Cline,L,72,170,0.238,6,2.36
Thad Bosley,L,75,175,0.272,20,2.33
Jimmie Hall,L,72,175,0.254,121,2.43
Brock Davis,L,70,160,0.26,1,2.29
Curt Blefary,L,74,195,0.237,112,2.64
Mack Jones,L,73,180,0.252,133,2.47
Hosken Powell,L,73,175,0.259,17,2.4
Dave Stapleton,L,73,185,0,0,2.53
Dan Meyer,L,71,180,0.253,86,2.54
Jim Holt,L,72,180,0.265,19,2.5
Gary Christenson,L,77,200,0,0,2.6
Mike Kinnunen,L,73,185,0,0,2.53
Dave Rajsich,L,77,175,0,0,2.27
Bill Voss,L,74,160,0.227,19,2.16
Wayne Krenchicki,L,73,180,0.266,15,2.47
Ray Sadecki,L,71,180,0.191,5,2.54
Len Matuszek,L,74,190,0.234,30,2.57
Joe Lefebvre,L,70,170,0.258,31,2.43
Jim Maloney,L,74,190,0.201,7,2.57
Phil Mankowski,L,72,180,0.264,8,2.5
Mike Lum,L,72,180,0.247,90,2.5
Johnny Grubb,L,75,175,0.278,99,2.33
Mike Pazik,L,74,195,0,0,2.64
Jim Traber,L,72,194,0.227,27,2.69
Ron Stone,L,74,185,0.241,6,2.5
Ted Uhlaender,L,74,190,0.263,36,2.57
Bobby Murcer,L,71,160,0.277,252,2.25
Mark Souza,L,72,180,0,0,2.5
Rick Jones,L,77,190,0,0,2.47
Steve Kemp,L,72,195,0.278,130,2.71
Mike Hargrove,L,72,195,0.29,80,2.71
Steve Hovley,L,70,188,0.258,8,2.69
Luis Quintana,L,74,175,0,0,2.36
Sam McDowell,L,77,190,0.154,2,2.47
Pat Kelly,L,73,185,0.264,76,2.53
Jerry Turner,L,69,180,0.257,45,2.61
Sandy Valdespino,L,68,170,0.23,7,2.5
Ken Phelps,L,73,209,0.239,123,2.86
Brian Snyder,L,75,185,0,0,2.47
Rick Sofield,L,73,195,0.243,9,2.67
Dave May,L,70,186,0.251,96,2.66
Willie Aikens,L,75,220,0.271,110,2.93
Mike Cubbage,L,72,180,0.258,34,2.5
Merritt Ranew,L,71,170,0.247,8,2.39
Lyman Bostock,L,73,180,0.311,23,2.47
Roy Howell,L,73,190,0.261,80,2.6
Boog Powell,L,76,230,0.266,339,3.03
Dennis DeBarr,L,74,190,0,0,2.57
Dan Driessen,L,71,187,0.267,153,2.63
Hal King,L,73,200,0.214,24,2.74
Ed Ott,L,70,190,0.259,33,2.71
Ed Hodge,L,74,192,0,0,2.59
Jim Campbell,L,71,175,0,0,2.46
Joe Pepitone,L,74,185,0.258,219,2.5
Steve Barber,L,72,195,0.115,5,2.71
Norm Miller,L,70,185,0.238,24,2.64
Bob Galasso,L,73,205,0,0,2.81
Bob Chance,L,74,196,0.261,24,2.65
Juan Nieves,L,75,175,0,0,2.33
Rudy Meoli,L,69,165,0.212,2,2.39
Ruppert Jones,L,70,170,0.25,147,2.43
Terry Francona,L,73,190,0.274,16,2.6
Ralph Garr,L,71,185,0.306,75,2.61
Broderick Perkins,L,70,180,0.271,8,2.57
Len Gabrielson,L,76,210,0.253,37,2.76
Johnny Edwards,L,76,220,0.242,81,2.89
Bruce Ellingsen,L,72,180,0,0,2.5
Gorman Heimueller,L,76,195,0,0,2.57
Clay Dalrymple,L,72,190,0.233,55,2.64
Carlos May,L,71,200,0.274,90,2.82
Mike Brumley,L,70,195,0.229,5,2.79
Al Luplow,L,70,175,0.235,33,2.5
Willie Stargell,L,74,188,0.282,475,2.54
Steve Carlton,L,76,210,0.201,13,2.76
Del Unser,L,73,180,0.258,87,2.47
Ron Blomberg,L,73,195,0.293,52,2.67
Willie Montanez,L,72,170,0.275,139,2.36
Mike Squires,L,71,185,0.26,6,2.61
Champ Summers,L,74,205,0.255,54,2.77
Tom Haller,L,76,195,0.257,134,2.57
Ed Stroud,L,71,180,0.237,14,2.54
Harry Spilman,L,73,180,0.237,18,2.47
Daryl Sconiers,L,74,185,0.265,15,2.5
Leron Lee,L,72,196,0.25,31,2.72
Willie Davis,L,74,180,0.279,182,2.43
Jerry Kenney,L,73,170,0.237,7,2.33
Dan Morogiello,L,73,200,0,0,2.74
Tom Matchick,L,73,173,0.215,4,2.37
Jack Perconte,L,70,160,0.27,2,2.29
Ed Kirkpatrick,L,71,195,0.238,85,2.75
Ellie Hendricks,L,73,175,0.22,62,2.4
Art Shamsky,L,73,168,0.253,68,2.3
Dick Nen,L,74,200,0.224,21,2.7
Rowland Office,L,72,170,0.259,32,2.36
Rick Leach,L,73,180,0.268,18,2.47
Dwayne Murphy,L,73,185,0.246,166,2.53
Larry Harlow,L,74,185,0.248,12,2.5
Mike Epstein,L,75,230,0.244,130,3.07
Jason Thompson,L,76,200,0.261,208,2.63
Mike Jorgensen,L,72,195,0.243,95,2.71
Cecil Cooper,L,74,165,0.298,241,2.23
John Poloni,L,77,210,0,0,2.73
Dave Revering,L,76,210,0.265,62,2.76
Curt Ford,L,70,150,0.245,7,2.14
Mike Willis,L,74,205,0,0,2.77
Bob Burda,L,71,174,0.224,13,2.45
Jesse Gonder,L,70,180,0.251,26,2.57
Dave Rader,L,71,165,0.257,30,2.32
Bill Sharp,L,70,178,0.255,9,2.54
Gail Hopkins,L,70,198,0.266,25,2.83
Doug Frobel,L,76,196,0.201,20,2.58
Jerry Augustine,L,72,183,0,0,2.54
Jeff Holly,L,77,210,0,0,2.73
Tom Poquette,L,70,175,0.268,10,2.5
Brian Asselstine,L,73,175,0.254,12,2.4
Rick Miller,L,72,175,0.269,28,2.43
Jerry Remy,L,69,165,0.275,7,2.39
Larry Rothschild,L,74,180,0,0,2.43
Tom O'Malley,L,72,180,0.256,13,2.5
Tom Brown,R,73,170,0,0,2.33
Denny Lemaster,R,73,182,0.13,4,2.49
Jose Cardenal,R,70,150,0.275,138,2.14
Mike Ryan,R,74,205,0.193,28,2.77
Dick Bertell,R,72,200,0.25,10,2.78
Rod Kanehl,R,73,180,0.241,6,2.47
Ozzie Osborn,R,74,195,0,0,2.64
Jeff Byrd,R,75,195,0,0,2.6
Juan Bonilla,R,69,170,0.256,7,2.46
Rick Wise,R,73,180,0.195,15,2.47
Buck Martinez,R,70,190,0.225,58,2.71
John Wockenfuss,R,72,190,0.262,86,2.64
Eric Wilkins,R,73,190,0,0,2.6
Lee Lacy,R,73,175,0.286,91,2.4
Danny Walton,R,72,195,0.223,28,2.71
Bobby Cox,R,71,180,0.225,9,2.54
Brad Wellman,R,72,170,0.231,6,2.36
Jeff Newman,R,74,215,0.224,63,2.91
Pedro Gonzalez,R,72,176,0.244,8,2.44
Tommie Reynolds,R,74,190,0.226,12,2.57
Gene Clines,R,69,170,0.277,5,2.46
Jim Hickman,R,75,192,0.252,159,2.56
Jack Billingham,R,76,195,0.111,0,2.57
Jerry Buchek,R,71,185,0.22,22,2.61
Ivan DeJesus,R,71,175,0.254,21,2.46
Gary Nolan,R,74,197,0.138,1,2.66
Gil Patterson,R,73,185,0,0,2.53
Larry Dierker,R,76,215,0.136,4,2.83
Dave Skaggs,R,74,200,0.241,3,2.7
Dick Ruthven,R,75,190,0.183,1,2.53
Steve Eddy,R,74,185,0,0,2.5
Dave Kingman,R,78,210,0.236,442,2.69
Eric Soderholm,R,71,187,0.264,102,2.63
Ed Brinkman,R,72,170,0.224,60,2.36
Jim Siwy,R,76,200,0,0,2.63
Bud Anderson,R,75,210,0,0,2.8
Ted Ford,R,70,180,0.219,17,2.57
John Butcher,R,76,185,0,0,2.43
Jerry Ujdur,R,73,195,0,0,2.67
Bo Diaz,R,71,185,0.255,87,2.61
Brian Denman,R,76,205,0,0,2.7
Kurt Bevacqua,R,72,180,0.236,27,2.5
Syd O'Brien,R,73,185,0.23,24,2.53
Jeffrey Leonard,R,74,200,0.266,144,2.7
Dal Maxvill,R,71,157,0.217,6,2.21
Steve Curry,R,78,217,0,0,2.78
Cesar Tovar,R,69,155,0.278,46,2.25
Jack Heidemann,R,72,175,0.211,9,2.43
Rich Rollins,R,70,185,0.269,77,2.64
Merv Rettenmund,R,70,190,0.271,66,2.71
Bryan Clutterbuck,R,76,223,0,0,2.93
Byron Browne,R,74,190,0.236,30,2.57
Hector Torres,R,72,175,0.216,18,2.43
Walt Williams,R,66,165,0.27,33,2.5
Jerry Koosman,R,74,205,0.119,2,2.77
Steve Lombardozzi,R,72,175,0.233,20,2.43
Joe Azcue,R,72,190,0.252,50,2.64
Elliott Maddox,R,71,180,0.261,18,2.54
Julian Javier,R,73,175,0.257,78,2.4
Elio Chacon,R,69,160,0.232,4,2.32
John Stearns,R,72,185,0.26,46,2.57
Larry Brown,R,70,160,0.233,47,2.29
Tommy Dean,R,72,165,0.18,4,2.29
Frank White,R,71,165,0.255,160,2.32
Jose Roman,R,72,175,0,0,2.43
Tom Brookens,R,70,165,0.246,71,2.36
Mike Trujillo,R,73,180,0,0,2.47
Albert Williams,R,76,190,0,0,2.5
Oswaldo Peraza,R,76,172,0,0,2.26
Otto Velez,R,72,170,0.251,78,2.36
Ray Oyler,R,71,165,0.175,15,2.32
Barry Cort,R,77,210,0,0,2.73
Bill Wilkinson,R,70,160,0,0,2.29
Mike Loynd,R,76,210,0,0,2.76
Wayne Comer,R,70,175,0.229,16,2.5
Ed Spiezio,R,71,180,0.238,39,2.54
Rico Petrocelli,R,72,175,0.251,210,2.43
Dick Simpson,R,76,176,0.207,15,2.32
Ken McMullen,R,75,190,0.248,156,2.53
Steve Swisher,R,74,205,0.216,20,2.77
Ben Callahan,R,79,230,0,0,2.91
Dick Howser,R,68,155,0.248,16,2.28
Bobby Cuellar,R,71,188,0,0,2.65
Willie Norwood,R,72,185,0.242,18,2.57
Ramon Manon,R,72,150,0,0,2.08
John Trautwein,R,75,205,0,0,2.73
Andy Replogle,R,77,205,0,0,2.66
Benny Ayala,R,73,185,0.251,38,2.53
Ron Romanick,R,76,195,0,0,2.57
Sal Butera,R,72,190,0.227,8,2.64
Johnny Jeter,R,73,180,0.244,18,2.47
Angel Salazar,R,72,180,0.212,2,2.5
Cito Gaston,R,75,190,0.256,91,2.53
Cookie Rojas,R,70,160,0.263,54,2.29
Rich Morales,R,71,170,0.195,6,2.39
Dave Ford,R,76,190,0,0,2.5
Dan Ford,R,73,185,0.27,121,2.53
Darryl Motley,R,69,196,0.243,44,2.84
Ozzie Virgil,R,73,180,0.243,98,2.47
Ron Santo,R,72,190,0.277,342,2.64
Jim Ray Hart,R,71,185,0.278,170,2.61
Marc Hill,R,75,205,0.223,34,2.73
Danny Fife,R,75,175,0,0,2.33
Chico Salmon,R,70,160,0.249,31,2.29
Joe Niekro,R,73,185,0.156,1,2.53
Andy Etchebarren,R,73,190,0.235,49,2.6
Ken Berry,R,72,175,0.255,58,2.43
Dave Concepcion,R,74,155,0.267,101,2.09
Junior Moore,R,71,185,0.264,7,2.61
Mike Richardt,R,72,170,0.226,4,2.36
Chris Brown,R,72,185,0.269,38,2.57
Al Downing,R,71,175,0.127,2,2.46
Rick Rhoden,R,75,195,0.238,9,2.6
Denny McLain,R,73,185,0.133,1,2.53
Dave Cash,R,71,170,0.283,21,2.39
Bucky Dent,R,69,170,0.247,40,2.46
Andy Beene,R,75,205,0,0,2.73
Leon Hooten,R,71,180,0,0,2.54
Larry Haney,R,74,195,0.215,12,2.64
Billy Conigliaro,R,72,180,0.256,40,2.5
Gary Roenicke,R,75,205,0.247,121,2.73
Don Lock,R,74,195,0.238,122,2.64
Billy Cowan,R,72,170,0.236,40,2.36
Allan Ramirez,R,70,180,0,0,2.57
Tony Perez,R,74,175,0.279,379,2.36
Chuck Schilling,R,70,160,0.239,23,2.29
Hal McRae,R,71,180,0.29,191,2.54
Dave Roberts,R,75,215,0.239,49,2.87
Brian Allard,R,73,175,0,0,2.4
Fernando Arroyo,R,74,180,0,0,2.43
Gary Beare,R,76,205,0,0,2.7
Charlie Spikes,R,75,215,0.246,65,2.87
Chris Batton,R,76,195,0,0,2.57
Duffy Dyer,R,72,187,0.221,30,2.6
Greg Thayer,R,71,182,0,0,2.56
Vern Fuller,R,73,170,0.232,14,2.33
Paul Hartzell,R,77,200,0,0,2.6
Mike Champion,R,72,185,0.229,2,2.57
Paul Casanova,R,76,180,0.225,50,2.37
Steve Rogers,R,74,175,0.138,0,2.36
Keith Creel,R,74,180,0,0,2.43
Lou Clinton,R,73,185,0.247,65,2.53
Larry Cox,R,70,178,0.221,12,2.54
Nate Colbert,R,74,190,0.243,173,2.57
Phil Roof,R,74,190,0.215,43,2.57
Chuck Hinton,R,73,180,0.264,113,2.47
Tim Cullen,R,73,185,0.22,9,2.53
Rick Bosetti,R,71,185,0.25,17,2.61
Ron Pruitt,R,72,185,0.269,12,2.57
George Foster,R,73,180,0.274,348,2.47
Angel Mangual,R,70,178,0.245,22,2.54
Ken Gerhart,R,72,190,0.221,24,2.64
Mike Hershberger,R,70,175,0.252,26,2.5
Mike Smith,R,75,180,0,0,2.4
T.R. Bryden,R,76,190,0,0,2.5
Jose Arcia,R,75,170,0.215,1,2.27
Tom Makowski,R,71,185,0,0,2.61
Aurelio Rodriguez,R,70,180,0.237,124,2.57
Andres Thomas,R,73,170,0.234,42,2.33
Mike de la Hoz,R,71,175,0.251,25,2.46
Frank Taveras,R,72,155,0.255,2,2.15
Joe Nossek,R,72,178,0.228,3,2.47
Bill Robinson,R,74,189,0.258,166,2.55
Sal Bando,R,72,195,0.254,242,2.71
George Mitterwald,R,74,195,0.236,76,2.64
Mike Darr,R,76,190,0,0,2.5
Craig Robinson,R,70,165,0.219,0,2.36
Bob Tillman,R,76,205,0.232,79,2.7
